Europe,Italy,JobTech,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,7%,N/A,1 month,N/A,N/A,,JBT,Direct Entity,Terminated,luigiandrea.coscia@jobtech.it,Luigi Andrea Coscia,,Inactive,,,Tier 0
Europe,Italy,JobTech,Jasmine,Poor Quality Vendor,Expat EOR,,,,,,,7%,N/A,1 month,N/A,N/A,,JBT,Direct Entity,Terminated,luigiandrea.coscia@jobtech.it,Luigi Andrea Coscia,,Inactive,,,Tier 0
Europe,Italy,Azure Global,David,,Local EOR ,,,,,,,GBP 650,,,,,,AZR,Unknown,,Ian@azureglobal.com,Ian Campbell,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/15NFhmwxb0MYodBdJq1TTiYfRMYW1y5Itge202TLAZEo/edit,"July 15, 2026",
Europe,Italy,Horizons,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Italy,Horizons,David,Backup Vendor,Expat EOR,,,,,,,USD 499,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Italy,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Italy,Rivermate,David,Preferred Vendor,Local EOR ,EUR 500-600,EUR 0-250,1 month,N/A,N/A,,EUR 350 ,N/A,1 month,N/A,N/A,,,,,bassem.benhassine@hightekers.com,Bassem Ben Hassine ,"31 December, 2026",Pricing in Contract,,,
Europe,Italy,Rivermate,David,Preferred Vendor,Expat EOR,EUR 600-700,EUR 0-250,1 month,N/A,N/A,,EUR 350 ,N/A,1 month,N/A,N/A,,,,,bassem.benhassine@hightekers.com,Bassem Ben Hassine ,"31 December, 2026",Pricing in Contract,,,
Europe,Italy,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Italy,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Italy,Leap 29,Jasmine,,Local EOR ,,,,,,,EUR 475,"• Setup Fee: EUR 250
• Onboarding Fee: EUR 150 ( for subsequent hires only not applicable for first hire)
• Off boarding Fee: EUR 150",1 month,,,,,,,mtoulet@leap29.com,Maguelone Toulet,"5 June, 2026",Vendor Responded,https://docs.google.com/spreadsheets/d/1NLr0DnvsAL8SOZvwNuR6Rp_PWy-sGijm5n4k4TJQUaE/edit,"June 17, 2026",Tier 2
Europe,Italy,PEO Italy,David,,Local EOR ,,,,,,,"EUR 550, negotiable depending on headcount",EUR 499,1 or 2 months of full payroll cycle depending on seniority of the employee and salary level,4 months from last working day of the employee,N/A,• Sponsors work permit ,,Direct Entity,,matteo@peoitaly.com,Matteo Bianchini,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1M9tckCfoMAFwPGeLasaTu9pUxotC0gcCsHCU0xv0ON4/edit,"July 15, 2026",
Europe,Italy,PEO Italy,David,,Expat EOR,,,,,,,"EUR 550, negotiable depending on headcount",EUR 499,1 or 2 months of full payroll cycle depending on seniority of the employee and salary level,4 months from last working day of the employee,N/A,• Sponsors work permit ,,Direct Entity,,matteo@peoitaly.com,matteo@peoitaly.com,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1M9tckCfoMAFwPGeLasaTu9pUxotC0gcCsHCU0xv0ON4/edit,"July 15, 2026",
Africa,Ivory Coast (Cote D'Ivoire),Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 200,N/A,USD 200,7.5% on service fee,12/22/2025,WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Ivory Coast (Cote D'Ivoire),Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 500,USD 200,N/A,USD 200,7.5% on service fee,"• Pricing valid until December 31st, 2050",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Ivory Coast (Cote D'Ivoire),Workpay ,David,Preferred Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Ivory Coast (Cote D'Ivoire),Workpay ,David,Preferred Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Ivory Coast (Cote D'Ivoire),Kharis Global Group ,David,Backup Vendor,Local EOR ,,,,,,,USD 200,N/A,N/A,,,,,Direct Entity,Established Contact,selorm@kharisglobalgroup.com,Eugene Selorm Akorli,"25 June, 2026",Vendor Responded,https://docs.google.com/spreadsheets/d/1bnCL389hf2xzwdLuTbd5E0JRdpjLqBVucpy7USIqz2I/edit,7/12/2026,
Africa,Ivory Coast (Cote D'Ivoire),Kharis Global Group ,David,Backup Vendor,Expat EOR,,,,,,,USD 350,N/A,N/A,,,,,Direct Entity,Established Contact,selorm@kharisglobalgroup.com,Eugene Selorm Akorli,"25 June, 2026",Vendor Responded,https://docs.google.com/spreadsheets/d/1bnCL389hf2xzwdLuTbd5E0JRdpjLqBVucpy7USIqz2I/edit,7/12/2026,
Africa,Ivory Coast (Cote D'Ivoire),Remote Solutions Africa ,David,Backup Vendor,Local EOR ,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Ivory Coast (Cote D'Ivoire),Remote Solutions Africa ,David,Backup Vendor,Expat EOR,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Latin America,Jamaica,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Asia,Japan,Shinmasu 合同會社,David,,Local EOR ,,,,,,,10% of TEC. Min contract: 3 month. Reimbursement fee: 2.5%,40000 JPY (300USD),N/A,N/A,,,,Direct Entity,,,,"5 June, 2026",Active,,,
Asia,Japan,ProWorks Group,David,,Local EOR ,,,,,,,"a.) JPY80,000 or b.) 8% on TEC (higher)",1x monthly fee plus C/Tax,,0.5 x monthly fee plus C/Tax,,,,Direct Entity,,lswamika@proworksgroup.com,Luc Swamika,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1GZJGluae0Q2CEc9n1184GQNSpbHVLaKnrlRc8Pge7Bk/edit,"June 10, 2026",Tier 0
Asia,Japan,Azure Global,David,,Local EOR ,,,,,,,"• USD 525 - salary up tp USD 5,000 / pax
• USD 729 - salary up to USD 8,000 / pax
• USD 1,300 - salary higher than USD 8,000 / pax",,,,,,AZR,Unknown,,Ian@azureglobal.com,Ian Campbell,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/15NFhmwxb0MYodBdJq1TTiYfRMYW1y5Itge202TLAZEo/edit,"July 15, 2026",
Asia,Japan,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,Japan,Horizons ,David,Backup Vendor,Expat EOR,,,,,,,USD 759,N/A,1 month,N/A,10% local VAT applies on the total amount of the invoice for expat,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,Japan,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check
• In Japan, Public Holidays are considered non-working days while we consider prorated calculation. ",RMT,Direct Entity,Active,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Asia,Japan,Rivermate,David,Preferred Vendor,Local EOR ,"JPY 83,645-103,500","JPY 46,735 - 62,300",1 month TEC,N/A,10% on all service fees,,"JPY 60,000","JPY 25,000",1 month TEC,"JPY 25,000",10% on all service fees,,EOS,Direct Entity,Signed MSA,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Asia,Japan,Rivermate,David,Preferred Vendor,Expat EOR,"JPY 83,645-103,500","JPY 46,735 - 62,300",1 month TEC,N/A,10% on all service fees,,"JPY 60,000","JPY 25,000",1 month TEC,"JPY 25,000",10% on all service fees,,EOS,Direct Entity,Signed MSA,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Asia,Japan,Worknetics,Jasmine,,Local EOR ,,,,,,,SGD 850,SGD 850,,,,,WKN,Uses Vendor,,garvin.chia@workneticsglobal.com,Garvin Chia,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1v8hqm0zO5cDgfVn00wIGynQiohce5uwmBwXgNFXVrGU/edit,"July 15, 2026",Tier 2
Asia,Japan,Mannet,David,,Local EOR ,,,,,,,12% on TEC ,,2 months,1 month,10%,,,Direct Entity,,shoya@mannet.co.jp,Mannet Shoya,"30 May, 2027",Active,https://docs.google.com/spreadsheets/d/1MLOAgYqyKxuXwPNNBZowFjCevlJvtR3b4RiUwvYYt9I/edit,"June 4, 2026",
Asia,Jordan,Connect Resources,David,,Local EOR ,,,,,,,USD 450,N/A,1 month TEC,N/A,16% on EOR fee,,CNR,Uses Vendor,,"gregg.s@connectresources.ae, 
wesley.s@connectresources.ae",Gregg Steyn,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1ieOJxUzmrSXNgAfyh8SwdttIVvwbhB4fFc4OzNzt0D8/edit,6/4/2026,
Asia,Jordan,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Jordan,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 400,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Asia,Jordan,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 400,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Asia,Jordan,Keys Payroll ,David,Preferred Vendor,Local EOR ,"1–5 pax: USD 400 - 500
6–10 pax: USD 350 - 400",USD 0 - 250,1 month,N/A,N/A,,"1–5                      $250 
6–10                    $200 
11–25                  $175 
26–50                  $150 
51–100                $100 
101–250              $90 
251–500              $80 
500–1000            $75 
1000+                  $50 ",N/A,N/A,N/A,,12/22/2025,,Direct Entity,Established Contact,info-keys@keysgroupservices.com,Naggy Megally,"31 December, 2026",Active,,,
Asia,Jordan,Trans Skills,David,Backup Vendor,Local EOR ,,,,,,,"EUR 330
• 1.5% on bonus and reimbursement",EUR 330,2 months,N/A,N/A,12/22/2025,TRS,Direct Entity,,charles.dawson@transskills.com,Charles Dawson,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1_xVbd68M01bbEusv8LOtQ7njrINL43C5x7I3Feg-7Eg/edit,7/15/2026,
Asia,Jordan,Trans Skills,David,Preferred Vendor,Expat EOR,"EUR 480 - 580
• 3% on bonus and reimbursement",EUR 480 - 580,2 months,N/A,N/A,,"EUR 330
• 1.5% on bonus and reimbursement",EUR 330,2 months,N/A,N/A,"if headcount is above 10, service fee can be discounted ",TRS,Direct Entity,,charles.dawson@transskills.com,Charles Dawson,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1_xVbd68M01bbEusv8LOtQ7njrINL43C5x7I3Feg-7Eg/edit,7/15/2026,
Asia,Jordan,SourceitHR,David,,Local EOR ,,,,,,,20%,250 USD,,N/A,16% to EOR fee,,,Direct Entity,,omar.tantash@sourceithr.com,Omar Tantash,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/12cFfLunIdaX7x5xOH4UKQPimSYm5-FkobK5kp8ZzBDQ/edit,"June 10, 2026",Tier 0
Asia,Kazakhstan,FChain,David,Preferred Vendor,Local EOR ,"USD 450 - 550 (for salary up to USD 3,000)
• 10% on reimbursement and bonus",USD 400 - 500,1 month gross salary,N/A,N/A,,"Option 1 (Flat Fee) 10% on Reimbursements&Tax
(1–10 EEs),$300 flat/month,
(11–15 EEs),$250 flat/month,
(16–25 EEs),$200 flat/month,
Option 2 (Percentage Based) No additional fees
(1–10 EEs) 10% (Min $300 / Max $400)
(11–15 EEs) 9% (Min $250 / Max $350)
(16–25 EEs) 8% (Min $200 / Max $300)
","USD 150 
",1 month gross salary + service fee + Tax,N/A,N/A,"Option 1 (Flat Fee) Expense & Admin Fee,10% on taxes & reimbursements
Option 2 (Percentage Based) Admin Fee - 0% (No additional charge)
",FCH,Direct Entity,,"ekassumova@f-chain.com, mmukhtar@f-chain.com","Ekaterina Kassumova, Moldir Mukhtar","5 June, 2026",Approved,https://docs.google.com/spreadsheets/d/10iWZAp5RXBiwls81G9UZm52Z6prAZhxEf6TNGcU-xF8/edit?usp=sharing,7/1/2026,
Asia,Kazakhstan,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Asia,Kazakhstan,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,Kazakhstan,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Asia,Kazakhstan,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Africa,Kazakhstan,NH Consulting,David,Backup Vendor,Local EOR,,,,,,,USD 450 + 2% on invoice + Reimbursement Fee: 5% on costs,N/A,1 month ,N/A,16 % of total invoice,"• Pricing valid until December 31st, 2091",WFA,Direct Entity,Signed MSA,anna.obraz@nh-logistics.com,Anna Obraz ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/1tMKLXxYn-nSYNrrh2MFNEQxds94ebQEgT0sl92_Ix-0/edit,6/4/2026,
Asia,Kazakhstan,NH Consulting,David,Backup Vendor,Local EOR,,,,,,,USD 450 + 2% on invoice + Reimbursement Fee: 5% on costs,N/A,1 month ,N/A,16 % of total invoice,,HRZ,Direct Entity,Established Contact,anna.obraz@nh-logistics.com,Anna Obraz ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/1tMKLXxYn-nSYNrrh2MFNEQxds94ebQEgT0sl92_Ix-0/edit,"June 4, 2026",
Africa,Kenya,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Africa,Kenya,Africa HR Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 350  ,USD 350 ,1 month ,USD 90,N/A,third-party expenses and disbursements are charged by Africa HR Solutions at cost + 10%.,,Direct Entity,Established Contact,ggeraghty@africa-hr.com,Grant Geraghty,"5 June, 2026",Active,https://docs.google.com/spreadsheets/d/16l8VyrJGEBOUb3_o77qAv4YEy0q7AgTQuRDgskl7-3Y/edit,"June 17, 2026",
Africa,Kenya,Africa HR Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 450   ,USD 390 ,1 month ,USD 190 ,,,,,,,,"5 June, 2026",Active,,,
Africa,Kenya,Workpay,David,Preferred Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,N/A,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Kenya,Workpay,David,Preferred Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,N/A,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Kenya,Remote Solutions Africa,David,Backup Vendor,Local EOR ,"USD 370 - 470
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 200,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Direct Entity,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,"July 15, 2026",
Africa,Kenya,Remote Solutions Africa,David,Backup Vendor,Expat EOR,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250 ,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Direct Entity,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,"July 15, 2026",
Africa,Kenya,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Africa,Kenya,Remote,David,Backup Vendor,Local EOR ,,,,,,,USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,12/22/2025,RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Africa,Kenya,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 400,USD 200,N/A,USD 200,16% on service fee,"• Pricing valid until December 31st, 2051",WFA,Direct Entity,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,Kenya,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 450,USD 200,N/A,USD 200,16% on service fee,"• Pricing valid until December 31st, 2052",WFA,Direct Entity,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Europe,Kosovo,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Kosovo,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Kosovo,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Kosovo,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Kosovo,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
